map_id,algorithmic_operation,paper_reference,official_cpp_reference,historical_matlab_reference,classification,official_behavior,full_IJRR2020_target_disposition
M011,bias_free_continuous_invariant_error_dynamics,"IJRR2020 Eqs. 12-14","InEKF.cpp:150-163","RIEKF.m:394-405",EXACT,"Contains g-cross orientation-to-velocity block and velocity-to-position identity","Retain and expose a testable A builder"
M012,bias_augmented_continuous_error_dynamics,"IJRR2020 Eqs. 27-28","InEKF.cpp:158-163","RIEKF.m:406-413",EXACT,"Adds -R, -skew(v)R, -skew(p)R and corresponding appended-state gyro-bias couplings","Retain with finite-difference error-dynamics tests"
M013,continuous_process_noise_mapping,"IJRR2020 Eqs. 25 and 28","InEKF.cpp:165-180","RIEKF.m:419-423",PARTIAL,"Maps gyro, accelerometer, active-contact, and bias random-walk covariances through the group adjoint; C++ has no per-contact h_R rotation input so anisotropic contact noise must already be expressed in the assumed body/contact convention","Declare covariance frame; use h_R Sigma_v h_R^T when anisotropic contact-frame noise is supported"
M014,state_transition_discretization,"IJRR2020 Eqs. 51-60; world-centric right-invariant Phi in Eqs. 58 or 60","InEKF.cpp:175-181","RIEKF.m:416-423",NUMERICAL_APPROXIMATION,"Phi=I+A*dt","Replace with analytical right-invariant Phi from Eq. 58 or the adjoint/expm identity Eq. 60"
M015,discrete_process_noise,"IJRR2020 Eqs. 51-53 and paper-used approximation Eq. 61","InEKF.cpp:178-184","RIEKF.m:419-429",NUMERICAL_APPROXIMATION,"Qd_hat=(Phi*Adj(X_k))*Q*(Phi*Adj(X_k))^T*dt using first-order Phi","At minimum reproduce paper Eq. 61 using analytical Phi and a declared continuous-noise frame; label any exact integral implementation separately"
M016,covariance_propagation,"IJRR2020 Eq. 51","InEKF.cpp:183-187","RIEKF.m:428-429",NUMERICAL_APPROXIMATION,"P+=Phi P Phi^T+Qd_hat is structurally correct but inherits approximate Phi and Qd","Use analytical Phi; maintain symmetry/PSD tests and a declared Qd policy"
M017,forward_kinematic_point_contact_observation,"IJRR2020 Eqs. 15-20 and Eq. 29","InEKF.cpp:421-463","RIEKF.m:455-505",ALGEBRAICALLY_EQUIVALENT,"Builds Y,b,H,PI for p_bc and contact position; N=R*translation_covariance*R^T; kinematic pose rotation is not used by the point-position correction","Retain translation-only point-contact adapter and make unused orientation explicit"
M018,invariant_innovation,"IJRR2020 Eqs. 18-20 and Eq. 29","InEKF.cpp:200-208","RIEKF.m:438-447",EXACT,"Computes Z=BigX*Y-b then delta=K*PI*Z","Retain"
M019,kalman_gain,"IJRR2020 Eqs. 19-20 and Eq. 29","InEKF.cpp:193-199","RIEKF.m:432-437",ALGEBRAICALLY_EQUIVALENT,"P H^T (H P H^T+N)^{-1}; C++ forms an explicit inverse","Use a linear solve or factorization while preserving the same algebra"
M020,state_and_bias_correction,"IJRR2020 Eq. 29","InEKF.cpp:204-214","RIEKF.m:442-447",EXACT,"Applies exp(delta_X) on the left of X and additive delta_theta","Retain"
M021,covariance_correction,"IJRR2020 Eqs. 19 and 29","InEKF.cpp:216-220","RIEKF.m:449-451",EXACT,"Joseph form (I-KH)P(I-KH)^T+KNK^T","Retain and optionally symmetrize only as a declared numerical hygiene step"
M022,stacked_active_contact_update,"IJRR2020 Sec. 5.3 generalized to N contacts","InEKF.cpp:395-475","RIEKF.m:462-481",EXACT,"Stacks all active already-augmented contact measurements into one observation and one correction","Retain all four legs independently"
M023,contact_state_augmentation,"IJRR2020 Eqs. 31-32","InEKF.cpp:516-545","Historical MATLAB keeps two fixed foot columns instead of switching dimensions",ALGEBRAICALLY_EQUIVALENT,"Initializes d=p+R*p_bc and P_new=F P F^T+G Cov(p_bc) G^T","Retain; test mean/covariance against direct Eq. 32 construction for one and multiple additions"
M024,contact_state_removal,"IJRR2020 Eq. 30","InEKF.cpp:477-513,552-557","Historical MATLAB keeps two fixed foot columns instead of switching dimensions",EXACT,"Deletes the contact column and corresponding three covariance rows/columns and reindexes remaining states","Retain; test simultaneous removals and remaining-index integrity"
M025,bias_random_walk,"IJRR2020 Eq. 25 and Eq. 28","InEKF.cpp:145-148,172-173","RIEKF.m:389-391,422-429",EXACT,"Bias mean is constant and Q_bg/Q_ba enter covariance propagation","Retain with unit/rate interpretation supplied by the later BY2 parameter contract"
M026,landmark_observations,"IJRR2020 additional observation models and Sec. 12","InEKF.cpp:223-380","RIEKF.m:510-601",NOT_APPLICABLE,"Official library also supports prior and estimated landmarks","Do not enable in LSE01 Hartley contact-only identity"
M027,left_invariant_variant,"IJRR2020 Sec. 10 and Tables 2-3","No left-invariant filter class or correction path","No independently selectable left-invariant implementation",ABSENT,"Pinned C++ implements the right-invariant path only","Not a blocker for selected world-centric RIEKF; never relabel C++ as covering all IJRR variants"
M028,robo_centric_variant,"IJRR2020 Sec. 11 and Tables 2-3","No robo-centric state or dynamics path","Absent",ABSENT,"Pinned C++ is world-centric","Not a blocker for selected world-centric RIEKF; keep variant identity explicit"
