level,group,method,registered_n,R1_unavailable_n,unavailable_to_finite_n,R2_unavailable_n,R2_algorithm_failure_n,R2_finite_n,audit_status_R1,audit_status_R2,observer_discrepancy_R2
type,D04,EXT05C,9,9,9,0,0,9,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.5704330589399866e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D43,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D43,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D42,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D42,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D05,LC01,9,8,8,0,0,9,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":2.8896526922390535e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D05,EXT05C,9,8,8,0,0,9,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":3.049939094966671e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D33,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.998770671745258e-14,""up_max_m"":1.4002687898084787e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D33,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D35,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071574809321569e-14,""up_max_m"":1.3627987627273797e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D35,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D32,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.0386750595755526e-14,""up_max_m"":1.3489209749195652e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D32,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D31,LC01,9,9,9,0,0,9,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D31,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D06,LC01,9,9,9,0,0,9,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D06,EXT05C,9,9,9,0,0,9,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.5704330589399866e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D46,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D46,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D47,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D47,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D50,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D50,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D57,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.082501601277358e-14,""up_max_m"":1.412064909445121e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D57,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.005631534832773e-14,""up_max_m"":1.3322676295501878e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D62,LC01,18,17,17,0,0,18,"{""FAIL"":17,""PASS"":1}","{""PASS"":18}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D62,EXT05C,18,17,17,0,0,18,"{""FAIL"":17,""PASS"":1}","{""PASS"":18}","{""horizontal_max_m"":3.5704330589399866e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D62,LC01-BR,18,18,18,0,0,18,"{""FAIL"":18}","{""PASS"":18}","{""horizontal_max_m"":3.1776437161565096e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D61,LC01,18,17,17,0,0,18,"{""FAIL"":17,""PASS"":1}","{""PASS"":18}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,位置噪声,LC01,18,0,0,0,18,0,"{""FAIL"":2,""NOT_EVALUATED"":15,""PASS"":1}","{""NOT_EVALUATED"":15,""PASS"":3}","{""horizontal_max_m"":1.6881232242081456e-14,""up_max_m"":1.0658141036401503e-14,""yaw_max_deg"":3.979039320256561e-13}"
family,位置噪声,EXT05C,18,0,0,0,18,0,"{""FAIL"":5,""NOT_EVALUATED"":13}","{""NOT_EVALUATED"":13,""PASS"":5}","{""horizontal_max_m"":1.0658141036401503e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":2.842170943040401e-14}"
family,位置偏差,LC01,18,0,0,0,0,18,"{""PASS"":18}","{""PASS"":18}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,位置偏差,EXT05C,18,0,0,0,0,18,"{""PASS"":18}","{""PASS"":18}","{""horizontal_max_m"":3.011734476238034e-14,""up_max_m"":1.4654943925052066e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,位置中断,LC01,18,17,17,0,0,18,"{""FAIL"":17,""PASS"":1}","{""PASS"":18}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,位置中断,EXT05C,18,17,17,0,0,18,"{""FAIL"":17,""PASS"":1}","{""PASS"":18}","{""horizontal_max_m"":3.5704330589399866e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,速度噪声,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,速度噪声,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,速度中断,LC01,18,8,8,0,0,18,"{""FAIL"":8,""PASS"":10}","{""PASS"":18}","{""horizontal_max_m"":2.8896526922390535e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,速度中断,EXT05C,18,8,8,0,0,18,"{""FAIL"":8,""PASS"":10}","{""PASS"":18}","{""horizontal_max_m"":3.049939094966671e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,航向噪声,LC01,27,0,0,0,0,27,"{""PASS"":27}","{""PASS"":27}","{""horizontal_max_m"":3.071574809321569e-14,""up_max_m"":1.4002687898084787e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,航向噪声,EXT05C,27,0,0,0,0,27,"{""PASS"":27}","{""PASS"":27}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,航向中断,LC01,18,18,18,0,0,18,"{""FAIL"":18}","{""PASS"":18}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,航向中断,EXT05C,18,9,9,0,0,18,"{""FAIL"":9,""PASS"":9}","{""PASS"":18}","{""horizontal_max_m"":3.5704330589399866e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,多普勒,LC01,27,0,0,0,0,27,"{""PASS"":27}","{""PASS"":27}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,多普勒,EXT05C,27,0,0,0,0,27,"{""PASS"":27}","{""PASS"":27}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,时间戳,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.082501601277358e-14,""up_max_m"":1.412064909445121e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,时间戳,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.005631534832773e-14,""up_max_m"":1.3322676295501878e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,A2,LC01,18,17,17,0,0,18,"{""FAIL"":17,""PASS"":1}","{""PASS"":18}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,A2,EXT05C,18,17,17,0,0,18,"{""FAIL"":17,""PASS"":1}","{""PASS"":18}","{""horizontal_max_m"":3.5704330589399866e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,A2,LC01-BR,18,18,18,0,0,18,"{""FAIL"":18}","{""PASS"":18}","{""horizontal_max_m"":3.1776437161565096e-14,""up_max_m"":4.263256414560601e-14,""yaw_max_deg"":4.092726157978177e-12}"
family,A1等价报告,LC01,18,17,17,0,0,18,"{""FAIL"":17,""PASS"":1}","{""PASS"":18}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
