stage_id,source_report,source_table,claim_topic,evidence_summary,data_scope,method_or_dataset,status,paper_use,main_text_allowed,appendix_allowed,diagnostic_only,blocked_with_proof,forbidden_claim_risk,required_citations_or_sources,notes
PAPER3D_R2,<PAPER3D_R2_STAGE_ROOT>/PAPER3D_R2_WSL_CLI_FINAL_REPORT.md,<PAPER3D_R2_EXPORT_ROOT>/PAPER3D_R2_PROVIDER_STATUS_SUMMARY.csv,RTKLIB and RINEX reconstruction,"Linux RTKLIB tools built, BY2 RINEX obs/nav nonempty, common epochs=1509, common satellites min/median/max=29/35/41, GPS DD/LOS partial provider rows=10182.",BY2,RTKLIB/RINEX/DDLOS,MAIN_TEXT_ALLOWED,MAIN_TEXT_ALLOWED,true,false,false,false,RTKLIB equals literature reproduction,<PAPER3D_R2_WSL_CLI_FINAL_REPORT>,Use for raw CSV to RINEX to DD/LOS provider evolution.
PAPER3D_R2,<PAPER3D_R2_STAGE_ROOT>/PAPER3D_R2_WSL_CLI_FINAL_REPORT.md,<PAPER3D_R2_EXPORT_ROOT>/PAPER3D_R2_RTKLIB_OUTPUT_POINTERS.csv,RTKLIB moving-base,"RTKLIB moving-base diagnostics produced ENU baseline outputs, but are external software diagnostics only.",BY2,RTKLIB moving-base,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,false,false,true,false,RTKLIB reproduction; yaw/attitude claim,<PAPER3D_R2_WSL_CLI_FINAL_REPORT>,Appendix only if clearly labelled diagnostic.
PAPER3E,<PAPER3E_STAGE_ROOT>/PAPER3E_SUPERVISOR_FINAL_REPORT.md,<PAPER3E_EXPORT_ROOT>/PAPER3E_ROW_LEVEL_MASTER_TABLE.csv,DD/LOS-backed module matrix,"PAPER3E completed 720/720 BY2 rows across six DD/LOS-backed methods; yaw_metric_valid=false.",BY2 120 canonical cases,DD01-DD06,APPENDIX_ALLOWED,APPENDIX_ALLOWED,false,true,false,false,exact reproduction; yaw claim,<PAPER3E_SUPERVISOR_FINAL_REPORT>,Good appendix evidence for DD/LOS-backed literature module diagnostics.
PAPER3F,<PAPER3F_STAGE_ROOT>/PAPER3F_SUPERVISOR_FINAL_REPORT.md,<PAPER3F_EXPORT_ROOT>/PAPER3F_METHOD_BACKEND_CLASSIFICATION_TABLE.csv,backend upgrade,"PAPER3F completed 720/720 backend-upgraded rows; Teunissen/Liu/Yang are partial/backend-upgraded, Pavlasek measurement-backend only, Wu reduced diagnostic, RTKLIB external diagnostic.",BY2 120 canonical cases,DD02-DD06,APPENDIX_ALLOWED,APPENDIX_ALLOWED,false,true,false,false,full faithful reproduction; body-yaw claim,<PAPER3F_SUPERVISOR_FINAL_REPORT>,Use as PDF-grounded native/proxy/backend-level implementations.
PAPER3G,<PAPER3G_STAGE_ROOT>/PAPER3G_SUPERVISOR_FINAL_REPORT.md,<PAPER3G_EXPORT_ROOT>/PAPER3G_NATIVE_METRICS_SUMMARY.csv,LAMBDA/MLAMBDA/C-LAMBDA helper,"PAPER3G reports RTKLIB standard LAMBDA helper smoke pass, Python C-LAMBDA proxy unit test pass, provider v2 GPS-only covariance ready, and 720/720 BY2 rows.",BY2 120 canonical cases,LAMBDA/MLAMBDA/CLAMBDA,APPENDIX_ALLOWED,APPENDIX_ALLOWED,false,true,false,false,official C-LAMBDA full search-and-shrink,<PAPER3G_SUPERVISOR_FINAL_REPORT>,Use for appendix ambiguity validation.
PAPER3H,<PAPER3H_STAGE_ROOT>/PAPER3H_SUPERVISOR_FINAL_REPORT.md,<PAPER3H_EXPORT_ROOT>/PAPER3H_PROVIDER_V3_SUMMARY.csv,provider v3,"PAPER3H reports DD_PROVIDER_V3_GPS_BDS_LOS_COVARIANCE_READY.",BY2,GPS+BDS DD/LOS,MAIN_TEXT_ALLOWED,MAIN_TEXT_ALLOWED,true,false,false,false,non-GPS full closure overclaim,<PAPER3H_SUPERVISOR_FINAL_REPORT>,Use in provider evolution figure.
PAPER3H,<PAPER3H_STAGE_ROOT>/PAPER3H_SUPERVISOR_FINAL_REPORT.md,<PAPER3H_EXPORT_ROOT>/PAPER3H_ROW_LEVEL_MASTER_TABLE.csv,fourth-layer native metrics,"PAPER3H completed 600/720 BY2 rows, 120 blocked with proof; Teunissen/Liu/Yang advanced, Wu native EQKF remains frame-limited, Pavlasek blocked by extrinsics/time alignment.",BY2 120 canonical cases,H01-H06,APPENDIX_ALLOWED,APPENDIX_ALLOWED,false,true,false,false,full algorithm reproduction; body-yaw claim,<PAPER3H_SUPERVISOR_FINAL_REPORT>,Use as appendix native/proxy metrics.
PAPER3I,<PAPER3I_STAGE_ROOT>/PAPER3I_SUPERVISOR_FINAL_REPORT.md,<PAPER3I_EXPORT_ROOT>/PAPER3I_PROVIDER_V4_SUMMARY.csv,provider v4,"Provider v4 has 28356 rows, 13995 GPS LOS-ready, 7382 BDS LOS-ready, 21932 residual-ready rows; Galileo, GLONASS, SBAS remain blocked.",BY2,GPS+BDS DD/LOS/residual,MAIN_TEXT_ALLOWED,MAIN_TEXT_ALLOWED,true,false,false,false,non-GPS closure overclaim,<PAPER3I_SUPERVISOR_FINAL_REPORT>; <PAPER3I_PROVIDER_V4_SYSTEM_FREQUENCY_SUMMARY>,Strongest provider construction evidence.
PAPER3I,<PAPER3I_STAGE_ROOT>/PAPER3I_SUPERVISOR_FINAL_REPORT.md,<PAPER3I_EXPORT_ROOT>/PAPER3I_PAVLASEK_IEKF_REPORT.md,Pavlasek IEKF,"Native diagnostic provider and NIS/innovation summary generated, but full IEKF blocked by physical extrinsics and time alignment.",BY2,Pavlasek IEKF,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,false,false,true,false,full IEKF claim,<PAPER3I_SUPERVISOR_FINAL_REPORT>,Appendix/diagnostic only.
PAPER3I,<PAPER3I_STAGE_ROOT>/PAPER3I_SUPERVISOR_FINAL_REPORT.md,<PAPER3I_EXPORT_ROOT>/PAPER3I_WU_EQKF_MISALIGNMENT_REPORT.md,Wu EQKF/PAR/ADOP,"Native diagnostic row-level outputs generated; body-yaw and full misalignment claims disabled.",BY2,Wu EQKF,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,false,false,true,false,body-yaw superiority; full misalignment closure,<PAPER3I_SUPERVISOR_FINAL_REPORT>,Appendix/diagnostic only.
PAPER3I,<PAPER3I_STAGE_ROOT>/PAPER3I_SUPERVISOR_FINAL_REPORT.md,<PAPER3I_EXPORT_ROOT>/PAPER3I_INTERNAL_BASELINE_JOIN_TABLE.csv,internal baseline join,"final_v23, single_antenna, and pure_INS have JOINABLE_ERROR_SERIES; LegSA_full and LegSA_QA missing provenance; same-evaluator superiority forbidden.",BY2,internal baselines,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,false,false,true,false,same-evaluator superiority,<PAPER3I_JOINED_EVIDENCE_TABLE>,Use for coverage summary, not comparative claim.
PAPER3I,<PAPER3I_STAGE_ROOT>/PAPER3I_SUPERVISOR_FINAL_REPORT.md,<PAPER3I_EXPORT_ROOT>/PAPER3I_PHYSICAL_YAW_FRAME_CLOSURE_REPORT.md,physical body-yaw frame,"Physical yaw frame requires user evidence with precise list; body-yaw claim remains blocked.",BY2,physical frame evidence,BLOCKED_WITH_PROOF,BLOCKED_WITH_PROOF,false,false,false,true,body-yaw RMSE; yaw superiority,<PAPER3I_SUPERVISOR_FINAL_REPORT>,Highest-priority missing evidence before any body-yaw plot.
GLOBAL,PAPER4A consolidation,PAPER4A_FORBIDDEN_CLAIMS.md,forbidden claims list,"Forbidden claim categories remain active unless later explicit evidence closes them.",all datasets,claim boundary,FORBIDDEN_CLAIM,FORBIDDEN_CLAIM,false,false,false,false,all listed forbidden claims,PAPER4A_FORBIDDEN_CLAIMS.md,Do not promote in PAPER4A.
