parameter_id,parameter,value,unit,source_type,source_identity,source_location,role,used_in_paper_experiment,eligible_for_BY2,trace_tuned,notes
P025,official_default_gyroscope_bias_noise_std,1e-5,code_native_std,OFFICIAL_CODE,HARTLEY_CPP_EF16E8A1,src/NoiseParams.cpp:22-25,OFFICIAL_CPP_DEFAULT,false,false,false,"Explicitly repeated by both official examples"
P026,official_default_accelerometer_bias_noise_std,1e-4,code_native_std,OFFICIAL_CODE,HARTLEY_CPP_EF16E8A1,src/NoiseParams.cpp:22-26,OFFICIAL_CPP_DEFAULT,false,false,false,"Explicitly repeated by both official examples"
P027,official_default_landmark_noise_std,0.1,code_native_std,OFFICIAL_CODE,HARTLEY_CPP_EF16E8A1,src/NoiseParams.cpp:22-27,OFFICIAL_CPP_DEFAULT,false,false,false,"Explicitly used by the official landmark example; not used by LSE01 contact-only identity"
P028,official_default_contact_noise_std,0.1,code_native_std,OFFICIAL_CODE,HARTLEY_CPP_EF16E8A1,src/NoiseParams.cpp:22-28,OFFICIAL_CPP_DEFAULT,false,false,false,"Constructor default is not used by the kinematics example because that example overrides it"
P029,official_kinematics_contact_noise_override_std,0.01,code_native_std,OFFICIAL_CODE,HARTLEY_CPP_EF16E8A1,src/examples/kinematics.cpp:57-66,OFFICIAL_KINEMATICS_EXAMPLE_REPRODUCTION,false,false,false,"The kinematics example passes this override to InEKF"
P030,go2_config_angle_random_walk_internal,2.8652488553573575e-4,rad/sqrt(s),BY2_PHYSICAL_INSTANTIATION,LEGSA_ACTIVE_PROJECT_CONFIG,"configs/paper_rebuild/clean1_by2_clean_protocol.yaml:131;cpp/legsa_v23_port_core/src/config/port_config_loader.cpp:564",CURRENT_PROJECT_CONFIG_PROVENANCE_UNVERIFIED,false,false,false,"Raw 0.985 deg/sqrt(h); loader multiplies D2R/60; measurement or Allan provenance is absent from active allowlisted material so this is not frozen for Hartley"
P031,go2_config_velocity_random_walk_internal,1.2833333333333334e-3,m/s/sqrt(s),BY2_PHYSICAL_INSTANTIATION,LEGSA_ACTIVE_PROJECT_CONFIG,"configs/paper_rebuild/clean1_by2_clean_protocol.yaml:132;cpp/legsa_v23_port_core/src/config/port_config_loader.cpp:565",CURRENT_PROJECT_CONFIG_PROVENANCE_UNVERIFIED,false,false,false,"Raw 0.077 m/s/sqrt(h); loader divides by 60; measurement or Allan provenance is absent from active allowlisted material so this is not frozen for Hartley"
P032,go2_config_gyro_bias_gauss_markov_state_std,4.547552328807448e-5,rad/s,BY2_PHYSICAL_INSTANTIATION,LEGSA_ACTIVE_PROJECT_CONFIG,"configs/paper_rebuild/clean1_by2_clean_protocol.yaml:133;cpp/legsa_v23_port_core/src/config/port_config_loader.cpp:566",GAUSS_MARKOV_STATE_STD_NOT_HARTLEY_BIAS_RANDOM_WALK_DENSITY,false,false,false,"Raw 9.38 deg/h; loader multiplies D2R/3600; cannot be used as Hartley w_bg density"
P033,go2_config_accel_bias_gauss_markov_state_std,7.78e-4,m/s^2,BY2_PHYSICAL_INSTANTIATION,LEGSA_ACTIVE_PROJECT_CONFIG,"configs/paper_rebuild/clean1_by2_clean_protocol.yaml:134;cpp/legsa_v23_port_core/src/config/port_config_loader.cpp:567",GAUSS_MARKOV_STATE_STD_NOT_HARTLEY_BIAS_RANDOM_WALK_DENSITY,false,false,false,"Raw 77.8 mGal; loader multiplies 1e-5; cannot be used as Hartley w_ba density"
P034,go2_config_bias_gauss_markov_correlation_time,3600,s,BY2_PHYSICAL_INSTANTIATION,LEGSA_ACTIVE_PROJECT_CONFIG,"configs/paper_rebuild/clean1_by2_clean_protocol.yaml:137;cpp/legsa_v23_port_core/src/config/port_config_loader.cpp:570",GAUSS_MARKOV_CORRELATION_PARAMETER_NOT_HARTLEY_BROWNIAN_MODEL,false,false,false,"Raw 1 h; loader multiplies by 3600; Hartley bias model is Brownian random walk rather than this first-order Gauss-Markov parameterization"
P035,go2_imu_measurement_or_allan_provenance,UNVERIFIED_NOT_PRESENT_ACTIVE_ALLOWLIST,NA,CURRENTLY_UNKNOWN,ACTIVE_ALLOWLIST,No_measurement_or_Allan_source_present,PROVENANCE_GATE_NOT_SATISFIED,false,false,false,"Do not silently propose P030-P034 for the future Hartley process model"
P036,go2_fk_proxy_translation_covariance,FROZEN_BY2_INPUT_ONLY_FK_PROXY_COVARIANCE,m^2,BY2_PHYSICAL_INSTANTIATION,BY2_HASH_LOCKED_GO2_COMPLETE_PREFIX,03_BY2_INPUT_AUDIT/FK_PROXY_COVARIANCE_SUMMARY.json,FUTURE_BY2_MEASUREMENT_NOISE,false,true,false,"Robust per-leg input-only residual covariance; median center; 0.5/99.5 percent winsorization; n-1 covariance; PSD projection; 1e-8 m2 eigenfloor dominates; not encoder/URDF precision"
P037,go2_contact_force_thresholds,"off/on FR=24.8/34.2;FL=25.2/33.8;RR=23.4/30.6;RL=24.0/32.0",input_native_units,BY2_PHYSICAL_INSTANTIATION,BY2_HASH_LOCKED_GO2_COMPLETE_PREFIX,03_BY2_INPUT_AUDIT/CONTACT_THRESHOLD_PROPOSAL.yaml,FROZEN_BY2_INPUT_ONLY_CONTACT_POLICY,false,true,false,"Deterministic force-only policy with 3-sample/0.012035608291625977 s dwell; foot speed is DIAGNOSTIC_ONLY; no trajectory trace or output tuning"
P038,numerical_rank_tolerance,"absolute=1e-12;relative_to_sigma_max=1e-9;sensitivity=[0.1,1,10]",dimensionless,PAPER_DERIVED,H0_H2_DECLARED_NOT_PAPER_DIRECT,04_METHOD_CONTRACTS/HARTLEY_NUMERICAL_OBSERVABILITY_CONTRACT.yaml,NUMERICAL_OBSERVABILITY,false,true,false,"Frozen before future numerical execution; rank claim requires stability across all sensitivity multipliers"
