source_id,pdf_page,render_alias,dpi,review_status,topic,evidence_role
HARTLEY_IJRR2020_ARXIV1904_09251V2,28,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_28_200DPI.png,200,VISUALLY_REVIEWED,"world-centric left-invariant A/Q/update equations","EXCLUDED_VARIANT_EQUATIONS"
HARTLEY_IJRR2020_ARXIV1904_09251V2,29,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_29_200DPI.png,200,VISUALLY_REVIEWED,"left-invariant contact augmentation and robo-centric entry","VARIANT_CONTACT_CROSSCHECK"
HARTLEY_IJRR2020_ARXIV1904_09251V2,30,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_30_200DPI.png,200,VISUALLY_REVIEWED,"robo-centric state and dynamics","EXCLUDED_VARIANT_STATE_PROCESS"
HARTLEY_IJRR2020_ARXIV1904_09251V2,31,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_31_200DPI.png,200,VISUALLY_REVIEWED,"robo-centric left-invariant FK observation and additional sensors","EXCLUDED_VARIANT_UPDATE"
HARTLEY_IJRR2020_ARXIV1904_09251V2,32,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_32_200DPI.png,200,VISUALLY_REVIEWED,"world/robo and left/right summary discussion; conclusion","FORMULATION_IDENTITY_CROSSCHECK"
HARTLEY_IJRR2020_ARXIV1904_09251V2,33,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_33_200DPI.png,200,VISUALLY_REVIEWED,"Tables 2 and 3 formulation summary","WORLD_ROBO_LEFT_RIGHT_TABLES"
HARTLEY_IJRR2020_ARXIV1904_09251V2,34,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_34_200DPI.png,200,VISUALLY_REVIEWED,"Appendix A ZOH assumption and Gamma functions","ANALYTICAL_DISCRETIZATION"
HARTLEY_IJRR2020_ARXIV1904_09251V2,35,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_35_200DPI.png,200,VISUALLY_REVIEWED,"Eq. 50 exact ZOH mean; Eqs. 51-55 covariance and transition","ANALYTICAL_MEAN_AND_COVARIANCE_DEFINITION"
HARTLEY_IJRR2020_ARXIV1904_09251V2,36,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_36_200DPI.png,200,VISUALLY_REVIEWED,"left transition blocks and Psi integrals","ANALYTICAL_TRANSITION_DETAILS"
HARTLEY_IJRR2020_ARXIV1904_09251V2,37,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_37_200DPI.png,200,VISUALLY_REVIEWED,"right transition Eqs. 58-60 and approximate noise Eq. 61","PRIMARY_DISCRETIZATION_POLICY_BOUNDARY"
HARTLEY_IJRR2020_ARXIV1904_09251V2,38,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_38_200DPI.png,200,VISUALLY_REVIEWED,"SE_K(3) adjoint; hat map; exponential","LIE_GROUP_APPENDIX"
HARTLEY_IJRR2020_ARXIV1904_09251V2,39,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_39_200DPI.png,200,VISUALLY_REVIEWED,"right-invariant to QEKF/Euclidean error conversion","ERROR_CONVERSION_APPENDIX"
HARTLEY_RSS2018_ARXIV1805_10410V1,1,rendered/HARTLEY_RSS2018_ARXIV1805.10410/PAGE_01_200DPI.png,200,VISUALLY_REVIEWED,"title; abstract; Cassie frame figure; original method claims","ORIGINAL_METHOD_IDENTITY"
HARTLEY_RSS2018_ARXIV1805_10410V1,2,rendered/HARTLEY_RSS2018_ARXIV1805.10410/PAGE_02_200DPI.png,200,VISUALLY_REVIEWED,"invariant-filter preliminaries and log-linear theorem","ORIGINAL_THEORY_CROSSCHECK"
HARTLEY_RSS2018_ARXIV1805_10410V1,3,rendered/HARTLEY_RSS2018_ARXIV1805.10410/PAGE_03_200DPI.png,200,VISUALLY_REVIEWED,"SE_N+2(3) state and IMU/contact process","ORIGINAL_STATE_PROCESS_DERIVATION"
HARTLEY_RSS2018_ARXIV1805_10410V1,4,rendered/HARTLEY_RSS2018_ARXIV1805.10410/PAGE_04_200DPI.png,200,VISUALLY_REVIEWED,"right-invariant error dynamics and FK update","ORIGINAL_RIEKF_UPDATE_DERIVATION"
HARTLEY_RSS2018_ARXIV1805_10410V1,5,rendered/HARTLEY_RSS2018_ARXIV1805.10410/PAGE_05_200DPI.png,200,VISUALLY_REVIEWED,"observability and convergence simulation figure","ORIGINAL_OBSERVABILITY_RESULT"
HARTLEY_RSS2018_ARXIV1805_10410V1,6,rendered/HARTLEY_RSS2018_ARXIV1805.10410/PAGE_06_200DPI.png,200,VISUALLY_REVIEWED,"IMU-bias augmentation and imperfect invariant dynamics","ORIGINAL_BIAS_DERIVATION"
HARTLEY_RSS2018_ARXIV1805_10410V1,7,rendered/HARTLEY_RSS2018_ARXIV1805.10410/PAGE_07_200DPI.png,200,VISUALLY_REVIEWED,"bias correction; contact removal and augmentation","ORIGINAL_CONTACT_LIFECYCLE"
HARTLEY_RSS2018_ARXIV1805_10410V1,8,rendered/HARTLEY_RSS2018_ARXIV1805.10410/PAGE_08_200DPI.png,200,VISUALLY_REVIEWED,"hardware experiment figure and Table I parameters","ORIGINAL_EXPERIMENT_PARAMETER_CROSSCHECK"
