registry_id,paper_identity,pdf_page,section,equation_or_item,operation,source_type,contract_status,selected_method_relevance,mathematical_contract,implementation_note
EQ027,IJRR2020_ARXIV1904.09251V2,30,11.1,Eqs.40-43,robo_centric_dynamics,PAPER_DIRECT,EXCLUDED_VARIANT,CONTEXT,"Robot-centric left dynamics correspond to world-centric right dynamics with stated bias-sign caveat","Reviewed to prevent accidental world/robo swap"
EQ028,IJRR2020_ARXIV1904.09251V2,30,11.2,Eqs.44-46,robo_centric_fk_update,PAPER_DIRECT,EXCLUDED_VARIANT,CONTEXT,"h_p=p-d+J_p w_alpha and H=[0,0,I,-I] is left invariant","Not the selected observation form"
EQ029,IJRR2020_ARXIV1904.09251V2,33,Summary tables,Tables 2-3,world_robo_summary_tables,PAPER_DIRECT,FROZEN_CONTEXT,CONTEXT,"Tables enumerate state; dynamics; Q mapping; and observation invariance for world/robo forms","Primary cross-check for formulation identity"
EQ030,IJRR2020_ARXIV1904.09251V2,34,A.1,Eqs.47-49,zoh_and_gamma_functions,PAPER_DIRECT,FROZEN,CORE,"Contacts and biases are deterministic constants over dt; Gamma_m series and closed forms define SO(3) integrals","Small-angle branches are required later"
EQ031,IJRR2020_ARXIV1904.09251V2,35,A.1,Eq.50,exact_zoh_state_step,PAPER_DIRECT,FROZEN,CORE,"R+=R Gamma0; v+=R Gamma1 a dt+g dt; p+=v dt+R Gamma2 a dt^2+0.5gdt^2","Exact under constant corrected IMU inputs"
EQ032,IJRR2020_ARXIV1904.09251V2,35,A.2,Eqs.51-53,discrete_covariance_definition,PAPER_DIRECT,FROZEN,CORE,"P+=Phi P Phi^T+Q_d; Q_d is the transition-weighted continuous-noise integral; Phi solves Phi_dot=A Phi","Eq.52 is the full mathematical target for Q_d"
EQ033,IJRR2020_ARXIV1904.09251V2,35,A.2,Eqs.54-55,left_transition_analytic,PAPER_DIRECT,FROZEN_REFERENCE,CONTEXT,"Phi_l=expm(A_l dt) with listed analytical block form","Used as an exact route to Phi_r through the adjoint"
EQ034,IJRR2020_ARXIV1904.09251V2,36,A.2,Eqs.56-57,Psi_integrals,PAPER_DIRECT,FROZEN,CORE,"Psi_1 and Psi_2 have analytical expressions for bias coupling","Later implementation must use stable zero-rate limits"
EQ035,IJRR2020_ARXIV1904.09251V2,37,A.2,Eqs.58-60,right_transition_analytic,PAPER_DIRECT,FROZEN,CORE,"Analytical Phi_r blocks or Phi_r=Ad_X{k+1} expm(A_l dt) Ad_Xk^-1","Both paths require equivalence tests"
EQ036,IJRR2020_ARXIV1904.09251V2,37,A.2,Eq.61,approximate_discrete_noise,PAPER_DIRECT,FROZEN_GAP,CORE,"Q_d approximately Phi Q_k Phi^T dt","Paper explicitly says this approximation was used for all reported results; it is not the exact Eq.52 integral"
EQ037,IJRR2020_ARXIV1904.09251V2,38,B,Eqs.62-66,SEK_group_expressions,PAPER_DIRECT,FROZEN,CORE,"SE_K(3) matrix; adjoint; hat; skew; exponential using Gamma0 and Gamma1","Required Lie-group primitives"
EQ038,IJRR2020_ARXIV1904.09251V2,38,C,Eqs.67-70,error_state_conversions,PAPER_DIRECT,FROZEN_REFERENCE,CONTEXT,"Mappings among right-invariant; QEKF; and Euclidean plotting errors","Not an online measurement or correction"
EQ039,RSS2018_ARXIV1805.10410V1,3-7,III-V,Eqs.4-21,original_contact_aided_RIEKF,PAPER_DIRECT,VERIFIED_CROSSCHECK,CORE,"Original world-centric right-invariant contact-aided derivation; bias augmentation; Euler state step; switching contacts","Confirms original method identity; IJRR supersedes its Euler discretization"
EQ040,IJRR2020_ARXIV1904.09251V2,NA,Paper-derived generalization,NA,stacked_active_contact_update,PAPER_DERIVED,FROZEN,CORE,"Stack one Eq.20 observation row per active contact and perform one joint update","Cross-contact covariance structure must be declared"
EQ041,HARTLEY_CPP_EF16E8A1,NA,Pinned official C++ audit,NA,official_discretization_behavior,OFFICIAL_CODE,CLOSED_NUMERICAL_APPROXIMATION,GAP,"R uses Exp_SO3 exactly away from its 1e-10 identity branch; v and p use frozen R_k; Phi=I+A*dt; Qd_hat=(Phi Ad_X)Q(Phi Ad_X)^T dt","RossHartley/invariant-ekf@ef16e8a1df72f9272111a488880e3fe9d161f59f/src/InEKF.cpp:139-184 and src/LieGroup.cpp:20-69; official early-code behavior is not the full IJRR2020 analytical-discretization target"
EQ042,BY2_HASH_LOCKED_GO2_COMPLETE_PREFIX,NA,H0-H2 BY2 adaptation,NA,high_level_fk_proxy_covariance,BY2_PHYSICAL_INSTANTIATION,FROZEN_INPUT_ONLY_ROBUST_POLICY,ADAPTATION,"FROZEN_BY2_INPUT_ONLY_FK_PROXY_COVARIANCE; per-leg robust residual covariance; PSD projection and 1e-8 m2 eigenfloor","Reference-independent and output-independent; floor dominates all final matrices; not raw encoder/URDF precision"
EQ043,BY2_HASH_LOCKED_GO2_AND_MAINTAINED_CODE,NA,H0-H2 BY2 frame audit,NA,sensor_body_world_transforms,BY2_PHYSICAL_INSTANTIATION,CLOSED_REAL_BY2_COMPLETE_RECORD_PREFIX,ADAPTATION,"sensor-to-body active RzRyRx(-1deg,0,0); robot-body-to-Hartley identity; world-up-to-NED-shaped reporting Q=diag(1,-1,-1)","No Go2 orientation or reference trace selected the transform; no absolute north is created; exact complete-record prefix is eligible"
