semantic,primary_location,primary_content,secondary_source,secondary_content,uniquely_closed,decision,provenance
embedded_measurement_R,Yin Sec.2.3 and Figure3,improved PDOP^2 Q r^2 feeds proposed robust-adaptive method,Y0-Y3 improved-R contract,closed,true,CLOSED,PAPER_DIRECT
standalone_AKF_measurement_R,Yin comparison experiment,not uniquely stated,Y0-Y3 branch boundary,unknown,false,CURRENTLY_UNKNOWN,CURRENTLY_UNKNOWN
same_branch_prior,Yin AKF/RKF bullets,"both use Xhat_(k/k-1) and P_(k/k-1)",Yin method text,"calculate adaptive and robust filtering separately then fuse",true,SAME_UNMODIFIED_PRIOR_CLOSED,PAPER_DIRECT
foundational_adaptive_source,Yang-He-Xu 2001,"adaptively robust filtering; author upload uses V_i/r_i and dependent max-based mapping",Official Springer metadata and attributable author upload,"candidate family context does not uniquely define Yin Eq.6",false,CANDIDATE_CONTEXT_ONLY,CITED_SOURCE_CANDIDATE
survey_source,Yang-Ren-Xu 2013,"Main Progress of Adaptively Robust Filter with Applications in Navigation; seven-page official abstract/metadata",Official journal endpoint,"pdfUrl and previewPdfUrl are null; full equations unavailable",false,ABSTRACT_CONTEXT_ONLY,CITED_SOURCE_ACCESS_BOUNDARY
dissertation_synopsis,Jiang 2020,"exact one-page 49(10):1376-1376 synopsis",Official DOI and index,"no attributable full dissertation was accessed",false,SYNOPSIS_ONLY,CITED_SOURCE_ACCESS_BOUNDARY
adaptive_navigation_source,Jiang 2021,"11-page article metadata",Official Springer and NCWU endpoints,"subscription/exclusive Springer access; no full equations inspected",false,METADATA_ONLY,CITED_SOURCE_ACCESS_BOUNDARY
robust_chain_boundary,Yang-Cheng-Shum-Tapley 1999,"standardized residual v_i/sigma_i and MAD robust scale in author upload",Official Springer metadata and attributable author upload,"robust-estimation chain supplies a different statistic rather than Yin Eq.6",false,DIFFERENT_CANDIDATE_NOT_UNIQUE,CITED_SOURCE_CANDIDATE
dependent_observation_boundary,Yang 1994,"direct dependent-observation source was inaccessible; ResearchGate request-only",Official Springer metadata and ResearchGate boundary,"cannot uniquely complete Yin's adaptive statistic",false,INACCESSIBLE_DIRECT_EQUATIONS,CITED_SOURCE_ACCESS_BOUNDARY
author_response_equation6,Official peer-review author response,"bar_V_k is residual H Xhat_k-Z_k; P_(bar_V_k) called prior-state covariance",Jina UTF-8 transport capture,"18,305 bytes; SHA-256 46c6bd33f49aab98ea0b9333f1ddce3298991ae55422ed440806a7d2dca313ce",false,STRENGTHENS_MULTIPLE_PLAUSIBLE_COMPLETIONS,PAPER_DIRECT_TRANSPORT_CAPTURE
